Plant_accepted_name,flw_shape,flw_shape_revised,lifeform
Abelia chinensis,stalk disk flower,stalk disk flowers,
Abutilon indicum,disk flower open,disk flowers open,
Abutilon theophrasti,disk flower open,pollen flowers,
Acer,#N/A,disk flowers open,
Acer campestre,pollen flower,disk flowers open,
Acer pseudoplatanus,pollen flower,disk flowers open,
Achillea,flower head,flower head,
Achillea atrata,flower head,flower head,
Achillea clavennae,flower head,flower head,
Achillea collina,flower heads,flower head,
Achillea decolorans,#N/A,flower head,
Achillea distans,flower head,flower head,
Achillea filipendulina,flower head,flower head,
Achillea millefolium,flower head,flower head,
Achillea pannonica,flower heads,flower head,
Achillea ptarmica,flower head,flower head,
Achillea setacea,flower heads,flower head,
Acinos alpinus,true lip flowers,lip flowers,
Acis trichophylla,#N/A,funnel flowers,
Aconitum degenii,lip flower,lip flowers,
Aconitum lycoctonum,lip flower,lip flowers,
Aconitum napellus,lip flower,lip flowers,
Aconitum variegatum,lip flowers,lip flowers,
Aconitum vulparia,#N/A,lip flowers,
Adenostyles alliariae,flower head,flower head,
Adenostyles alpina,flower head,flower head,
Adenostyles glabra,flower heads,flower head,
Adonis aestivalis,pollen flower,pollen flowers,
Adonis annua,pollen flower,pollen flowers,
Adonis vernalis,pollen flower,pollen flowers,
Aegopodium podagraria,disk flower open,disk flowers open,
Aesculus carnea,lip flower,lip flowers,
Aesculus hippocastanum,lip flower,lip flowers,
Aesculus parviflora,lip flower,lip flowers,
Aesculus sylvatica,#N/A,lip flowers,
Aetheorhiza bulbosa,#N/A,flower head,
Aethusa cynapium,disk flower open,disk flowers open,
Agapanthus,funnel flower,funnel flowers,
Agastache urticifolia,brush flower,brush flowers,
Ageratum houstonianum,pollen flower,pollen flowers,
Agoseris hirsuta,#N/A,flower head,
Agrimonia eupatoria,pollen flower,pollen flowers,
Agrimonia eupatorium,#N/A,pollen flowers,
Agrostemma githago,stalk disc flowers,stalk disk flowers,
Agrostis alpina,not applicable,wind flowers,grass
Agrostis capillaris,not applicable,wind flowers,grass
Agrostis schleicheri,not applicable,wind flowers,grass
Ajuga chamaepitys,true lip flowers,lip flowers,
Ajuga pyramidalis,lip flower,lip flowers,
Ajuga reptans,lip flower,lip flowers,
Albuca bracteata,pollen flower,pollen flowers,
Alcea biennis,funnel flower,funnel flowers,
Alcea rosea,funnel flower,disk flowers hidden,
Alchemilla,disk flower open,disk flowers open,
Alchemilla conjuncta,#N/A,disk flowers open,
Alchemilla mollis,disk flowers with nectar open,disk flowers open,
Alchemilla vulgaris,disk flower open,disk flowers open,
Alchemilla xanthochlora,disk flowers with nectar open,disk flowers open,
Alkanna tinctoria,bell flower,bell flowers,
Alliaria petiolata,stalk disk flower,disk flowers hidden,
Allium,#N/A,disk flowers hidden,
Allium ampeloprasum,disk flowers with nectar ± hidden nectaries at or in ovary,disk flowers hidden,
Allium atropurpureum,disk flower hidden,disk flowers hidden,
Allium carinatum,disk flower hidden,disk flowers hidden,
Allium cepa,disk flower hidden,disk flowers hidden,
Allium denudatum,disk flower hidden,disk flowers hidden,
Allium exile,disk flower hidden,disk flowers hidden,
Allium flavum,disk flowers with nectar ± hidden nectaries at or in ovary,disk flowers hidden,
Allium lusitanicum,disk flower hidden,disk flowers hidden,
Allium neapolitanum,#N/A,disk flowers hidden,
Allium oleraceum,disk flower hidden,disk flowers hidden,
Allium roseum,#N/A,disk flowers hidden,
Allium saxatile,disk flower hidden,disk flowers hidden,
Allium schoenoprasum,disk flower hidden,disk flowers hidden,
Allium scorodoprasum,disk flower hidden,disk flowers hidden,
Allium sipyleum,disk flower hidden,disk flowers hidden,
Allium sphaerocephalon,disk flower hidden,disk flowers hidden,
Allium subvillosum,disk flower hidden,disk flowers hidden,
Allium trifoliatum,#N/A,disk flowers hidden,
Allium triquetrum,disk flower hidden,disk flowers hidden,
Allium ursinum,disk flower hidden,disk flowers hidden,
Althaea officinalis,funnel flower,disk flowers hidden,
Amaranthus hybridus,#N/A,wind flowers,grass
Amaranthus retroflexus,not applicable,wind flowers,grass
