"Study_Network_id","pollinator_count","total_pollinator_count","percentage","strategy","n_plants","pollinator_order"
"11_Clough_ASK_2021_2021",10,11,90.9090909090909,"Abundance",10,"Hymenoptera"
"11_Clough_HAM_2021_2021",9,10,90,"Abundance",10,"Hymenoptera"
"11_Clough_KOM_2021_2021",7,11,63.6363636363636,"Abundance",10,"Hymenoptera"
"11_Clough_LOB_2021_2021",4,6,66.6666666666667,"Abundance",10,"Hymenoptera"
"11_Clough_PET_2021_2021",8,18,44.4444444444444,"Abundance",10,"Hymenoptera"
"11_Clough_TAG_2021_2021",6,12,50,"Abundance",10,"Hymenoptera"
"12_Ockinger_Norrang_Ryckelsby_Og",3,6,50,"Abundance",10,"Hymenoptera"
"12_Ockinger_Sattra_Og",3,4,75,"Abundance",10,"Hymenoptera"
"12_Ockinger_St_Tadinge",10,13,76.9230769230769,"Abundance",10,"Hymenoptera"
"12_Ockinger_Tjalinge_Skogstibble",7,12,58.3333333333333,"Abundance",10,"Hymenoptera"
"20_Hoiss_H5_2010",10,17,58.8235294117647,"Abundance",10,"Hymenoptera"
"20_Hoiss_H6_2010",3,5,60,"Abundance",10,"Hymenoptera"
"20_Hoiss_H7_2010",2,4,50,"Abundance",10,"Hymenoptera"
"20_Hoiss_HO1_2010",16,16,100,"Abundance",10,"Hymenoptera"
"20_Hoiss_HO5_2010",6,11,54.5454545454545,"Abundance",10,"Hymenoptera"
"20_Hoiss_T4_2010",13,20,65,"Abundance",10,"Hymenoptera"
"22_Kallnik_h1_2012",6,11,54.5454545454545,"Abundance",10,"Hymenoptera"
"22_Kallnik_h2_2011",10,11,90.9090909090909,"Abundance",10,"Hymenoptera"
"22_Kallnik_h3_2011",8,10,80,"Abundance",10,"Hymenoptera"
"22_Kallnik_h4_2010",6,10,60,"Abundance",10,"Hymenoptera"
"22_Kallnik_h4_2011",9,10,90,"Abundance",10,"Hymenoptera"
"22_Kallnik_h5_2011",11,11,100,"Abundance",10,"Hymenoptera"
"22_Kallnik_h5_2012",11,11,100,"Abundance",10,"Hymenoptera"
"22_Kallnik_h6_2011",8,10,80,"Abundance",10,"Hymenoptera"
"22_Kallnik_h7_2011",7,10,70,"Abundance",10,"Hymenoptera"
"22_Kallnik_ho2_2011",8,10,80,"Abundance",10,"Hymenoptera"
"22_Kallnik_ho3_2011",12,12,100,"Abundance",10,"Hymenoptera"
"22_Kallnik_ho3_2012",8,10,80,"Abundance",10,"Hymenoptera"
"22_Kallnik_ho4_2010",9,10,90,"Abundance",10,"Hymenoptera"
"22_Kallnik_ho4_2011",12,13,92.3076923076923,"Abundance",10,"Hymenoptera"
"22_Kallnik_ho4_2012",10,12,83.3333333333333,"Abundance",10,"Hymenoptera"
"22_Kallnik_ho5_2011",6,12,50,"Abundance",10,"Hymenoptera"
"22_Kallnik_wma3_2011",5,10,50,"Abundance",10,"Hymenoptera"
"22_Kallnik_wma3_2012",5,10,50,"Abundance",10,"Hymenoptera"
"22_Kallnik_wma4_2011",8,11,72.7272727272727,"Abundance",10,"Hymenoptera"
"22_Kallnik_wma5_2011",10,10,100,"Abundance",10,"Hymenoptera"
"22_Kallnik_wmb1_2012",10,11,90.9090909090909,"Abundance",10,"Hymenoptera"
"22_Kallnik_wmb2_2011",9,12,75,"Abundance",10,"Hymenoptera"
"22_Kallnik_wmb2_2012",6,11,54.5454545454545,"Abundance",10,"Hymenoptera"
"22_Kallnik_wmb3_2011",9,10,90,"Abundance",10,"Hymenoptera"
"22_Kallnik_wmb3_2012",9,10,90,"Abundance",10,"Hymenoptera"
"22_Kallnik_wmb4_2010",9,12,75,"Abundance",10,"Hymenoptera"
"22_Kallnik_wmb4_2011",8,13,61.5384615384615,"Abundance",10,"Hymenoptera"
"22_Kallnik_wmb4_2012",10,11,90.9090909090909,"Abundance",10,"Hymenoptera"
"22_Kallnik_wmb5_2010",9,11,81.8181818181818,"Abundance",10,"Hymenoptera"
"22_Kallnik_wmb5_2011",9,11,81.8181818181818,"Abundance",10,"Hymenoptera"
"22_Kallnik_wmb5_2012",8,11,72.7272727272727,"Abundance",10,"Hymenoptera"
"28_Sutter_10_2013",6,14,42.8571428571429,"Abundance",10,"Hymenoptera"
"28_Sutter_11_2013",8,12,66.6666666666667,"Abundance",10,"Hymenoptera"
"28_Sutter_12_2013",8,11,72.7272727272727,"Abundance",10,"Hymenoptera"
"28_Sutter_13_2013",4,11,36.3636363636364,"Abundance",10,"Hymenoptera"
"28_Sutter_13_2014",7,9,77.7777777777778,"Abundance",10,"Hymenoptera"
"28_Sutter_14_2013",4,10,40,"Abundance",10,"Hymenoptera"
"28_Sutter_17_2013",5,15,33.3333333333333,"Abundance",10,"Hymenoptera"
"28_Sutter_19_2013",15,18,83.3333333333333,"Abundance",10,"Hymenoptera"
"28_Sutter_1_2013",7,12,58.3333333333333,"Abundance",10,"Hymenoptera"
"28_Sutter_20_2013",11,13,84.6153846153846,"Abundance",10,"Hymenoptera"
"28_Sutter_21_2013",9,14,64.2857142857143,"Abundance",10,"Hymenoptera"
"28_Sutter_2_2013",8,13,61.5384615384615,"Abundance",10,"Hymenoptera"
"28_Sutter_3_2013",10,19,52.6315789473684,"Abundance",10,"Hymenoptera"
"28_Sutter_5_2013",15,21,71.4285714285714,"Abundance",10,"Hymenoptera"
"28_Sutter_8_2013",10,15,66.6666666666667,"Abundance",10,"Hymenoptera"
"28_Sutter_8_2014",16,17,94.1176470588235,"Abundance",10,"Hymenoptera"
"29_Magrach_Gibraleon_2011",15,20,75,"Abundance",10,"Hymenoptera"
"29_Magrach_Gravera_2011",15,22,68.1818181818182,"Abundance",10,"Hymenoptera"
"29_Magrach_Niebla_2011",20,22,90.9090909090909,"Abundance",10,"Hymenoptera"
"29_Magrach_Niebla_2012",24,24,100,"Abundance",10,"Hymenoptera"
"29_Magrach_Villablanca_2011",14,16,87.5,"Abundance",10,"Hymenoptera"
"2_Petanidou_Armolia_2015",40,46,86.9565217391304,"Abundance",10,"Hymenoptera"
"2_Petanidou_Emborios_2015",55,58,94.8275862068966,"Abundance",10,"Hymenoptera"
"2_Petanidou_Gridia_2015",41,54,75.9259259259259,"Abundance",10,"Hymenoptera"
"2_Petanidou_Kato Fana_2015",35,40,87.5,"Abundance",10,"Hymenoptera"
"2_Petanidou_Palios Katarraktis_2015",29,48,60.4166666666667,"Abundance",10,"Hymenoptera"
"2_Petanidou_Vessa 2_2015",48,67,71.6417910447761,"Abundance",10,"Hymenoptera"
"30_Smith_lsk48_2012",7,11,63.6363636363636,"Abundance",10,"Hymenoptera"
"30_Smith_lsk57_2011",6,10,60,"Abundance",10,"Hymenoptera"
"30_Smith_lsk73_2012",4,7,57.1428571428571,"Abundance",10,"Hymenoptera"
"30_Smith_lsk74_2012",5,14,35.7142857142857,"Abundance",10,"Hymenoptera"
