,original_name,gbif_name,rank,status,family,order,WOF_name
33,Achillea clavaennae,,,,,,Achillea clavennae
70,Agrimonia eupatoria,,,,,,Agrimonia eupatorium
58,Ajuga pyranidalis,,,,,,Ajuga pyramidalis
32,Anemone�coronaria,NA,NA,NA,NA,NA,Anemone coronaria
67,Arenaria serphylifolia,,,,,,Arenaria serpyllifolia
36,Buphtalmum salicifolium,,,,,,Buphthalmum salicifolium
13,Calendula,NA,NA,NA,NA,NA,Calendula
4,Centaurea Jacea,NA,NA,NA,NA,NA,Centaurea jacea
6,Centaurea Scabiosa,NA,NA,NA,NA,NA,Centaurea scabiosa
48,Chaerophyllum temelum,,,,,,Chaerophyllum temulum
64,Cirsium rivularae,,,,,,Cirsium rivulare
38,Clinopodium alpinus,,,,,,Clinopodium alpinum
3,Crepis versicaria,NA,NA,NA,NA,NA,Crepis vesicaria
15,Cydonia,NA,NA,NA,NA,NA,Cydonia
21,Daisy,NA,NA,NA,NA,NA,NA
25,Daisy small-yellow,NA,NA,NA,NA,NA,NA
24,Daisy yellow,NA,NA,NA,NA,NA,NA
18,Dandelion,NA,NA,NA,NA,NA,Krigia dandelion
66,Dianthus spinuifolius,,,,,,Dianthus spiculifolius
27,Erophilia verna,NA,NA,NA,NA,NA,Draba verna
46,Erytronium dens-canis,,,,,,Erythronium dens-canis
5,Falcaria,NA,NA,NA,NA,NA,Falcaria
1,Galeopsis,NA,NA,NA,NA,NA,Galeopsis
41,Galium columbinum,,,,,,Galium columbianum
31,Geraniacea,NA,NA,NA,NA,NA,Geraniacea
49,Glechoma hederatia,,,,,,Glechoma hederacea
16,Globularia,NA,NA,NA,NA,NA,Globularia
50,Hedysarum hedysarioides,,,,,,Hedysarum hedysaroides
51,Heliosperma pusilla,,,,,,Heliosperma pusillum
52,Heracleum sphondyleum,,,,,,Heracleum sphondylium
37,Hieracium sylvaticus,,,,,,Hieracium sylvaticum
30,Hortensia,NA,NA,NA,NA,NA,Hortensia
23,Iris,NA,NA,NA,NA,NA,Iris
11,Lathyrus,NA,NA,NA,NA,NA,Lathyrus
20,Leucojun trichophyllum,NA,NA,NA,NA,NA,Acis trichophylla
43,Linnaria propinqua,,,,,,Linaria propinqua
53,Listeria ovata,,,,,,Listera ovata
2,Lithrum vulgare,"Lithrum Huds., 1762",GENUS,DOUBTFUL,Lythraceae,Myrtales,Lythrum salicaria
29,Lotus,NA,NA,NA,NA,NA,Lotus
44,Lotus cornicularis,,,,,,Lotus corniculatus
61,Lunnaria annua,,,,,,Lunaria annua
54,Melampyrum sylvatica,,,,,,Melampyrum sylvaticum
59,Mentha _piperita,,,,,,Mentha piperita
57,Minuartia gerardii,,,,,,Minuartia gerardi
14,Nigella,NA,NA,NA,NA,NA,Nigella
45,Ophyrs apifera,,,,,,Ophrys apifera
7,Papaver Rhoeas,NA,NA,NA,NA,NA,Papaver rhoeas
60,Partenocissus inserta,,,,,,Parthenocissus inserta
55,Phyteuma spicata,,,,,,Phyteuma spicatum
63,Pilosella officinalis,,,,,,Pilosella officinarum
17,Plathyrus pratensis,NA,NA,NA,NA,NA,Lathyrus pratensis
56,Potentilla tabernemontanum,,,,,,Potentilla tabernaemontani
34,Rhinantus glacialis,,,,,,Rhinanthus glacialis
40,Salvia verticilata,,,,,,Salvia verticillata
35,Saxifraga squamosa,,,,,,Saxifraga squarrosa
22,Scorpiurus,NA,NA,NA,NA,NA,Scorpiurus
19,Silene,NA,NA,NA,NA,NA,Silene
10,Sinapis,NA,NA,NA,NA,NA,Sinapis
26,Stellaria,NA,NA,NA,NA,NA,Stellaria
42,Syringia vulgaris,,,,,,Syringa vulgaris
68,Taraxacum officinalis,,,,,,Taraxacum officinale
39,Thalictrum aquilegifolium,,,,,,Thalictrum aquilegiifolium
62,Thymus serpillum,,,,,,Thymus serpyllum
8,Trifolium,NA,NA,NA,NA,NA,Trifolium
69,Trifolium amarillo,,,,,,Trifolium amabile
9,Trifolium geel,NA,NA,NA,NA,NA,Trifolium
65,Trollius europeus,,,,,,Trollius europaeus
28,Unknown Unknown,NA,NA,NA,NA,NA,NA
12,Viola,NA,NA,NA,NA,NA,Viola
