"Study_Network_id","coverage_est"
"11_Clough_ASK_2021_2021",0.6335
"11_Clough_HAM_2021_2021",0.9103
"11_Clough_KOM_2021_2021",0.7593
"11_Clough_LOB_2021_2021",0.7269
"11_Clough_PET_2021_2021",0.7725
"11_Clough_TAG_2021_2021",0.8126
"12_Ockinger_Norrang_Ryckelsby_Og",0.8185
"12_Ockinger_Sattra_Og",0.8125
"12_Ockinger_St_Tadinge",0.8259
"12_Ockinger_Tjalinge_Skogstibble",0.7489
"20_Hoiss_H5_2010",0.8765
"20_Hoiss_H6_2010",0.8538
"20_Hoiss_H7_2010",0.8742
"20_Hoiss_HO1_2010",0.8671
"20_Hoiss_HO5_2010",0.8816
"20_Hoiss_T4_2010",0.9035
"22_Kallnik_h1_2012",0.9968
"22_Kallnik_h2_2011",0.9957
"22_Kallnik_h3_2011",0.9929
"22_Kallnik_h4_2010",0.9477
"22_Kallnik_h4_2011",1
"22_Kallnik_h5_2011",1
"22_Kallnik_h5_2012",1
"22_Kallnik_h6_2011",1
"22_Kallnik_h7_2011",0.9827
"22_Kallnik_ho2_2011",1
"22_Kallnik_ho3_2011",0.9969
"22_Kallnik_ho3_2012",0.9951
"22_Kallnik_ho4_2010",0.9828
"22_Kallnik_ho4_2011",1
"22_Kallnik_ho4_2012",1
"22_Kallnik_ho5_2011",0.9877
"22_Kallnik_wma3_2011",0.9939
"22_Kallnik_wma3_2012",0.9762
"22_Kallnik_wma4_2011",0.9835
"22_Kallnik_wma5_2011",1
"22_Kallnik_wmb1_2012",0.9919
"22_Kallnik_wmb2_2011",0.9938
"22_Kallnik_wmb2_2012",0.9934
"22_Kallnik_wmb3_2011",0.9939
"22_Kallnik_wmb3_2012",0.9932
"22_Kallnik_wmb4_2010",0.9928
"22_Kallnik_wmb4_2011",0.992
"22_Kallnik_wmb4_2012",1
"22_Kallnik_wmb5_2010",0.9904
"22_Kallnik_wmb5_2011",0.9921
"22_Kallnik_wmb5_2012",0.995
"28_Sutter_10_2013",0.9857
"28_Sutter_11_2013",0.9566
"28_Sutter_12_2013",0.9734
"28_Sutter_13_2013",0.9888
"28_Sutter_13_2014",0.9164
"28_Sutter_14_2013",0.9688
"28_Sutter_17_2013",0.9811
"28_Sutter_19_2013",0.9777
"28_Sutter_1_2013",0.988
"28_Sutter_20_2013",0.9847
"28_Sutter_21_2013",0.9726
"28_Sutter_2_2013",0.9559
"28_Sutter_3_2013",0.9099
"28_Sutter_5_2013",0.9935
"28_Sutter_8_2013",0.9636
"28_Sutter_8_2014",0.9086
"29_Magrach_Gibraleon_2011",0.9033
"29_Magrach_Gravera_2011",0.9808
"29_Magrach_Niebla_2011",0.9066
"29_Magrach_Niebla_2012",0.9443
"29_Magrach_Villablanca_2011",0.9155
"2_Petanidou_Armolia_2015",0.9736
"2_Petanidou_Emborios_2015",0.9698
"2_Petanidou_Gridia_2015",0.9482
"2_Petanidou_Kato Fana_2015",0.9554
"2_Petanidou_Palios Katarraktis_2015",0.9298
"2_Petanidou_Vessa 2_2015",0.9656
"30_Smith_lsk48_2012",0.5035
"30_Smith_lsk57_2011",0.9298
"30_Smith_lsk73_2012",0.8881
"30_Smith_lsk74_2012",0.7768
"30_Smith_lsk77_2011",0.8294
"30_Smith_lsk77_2012",0.8424
"31_Roberts_Hunt_2013",0.963
"31_Roberts_Jefferies_2013",0.9438
"31_Roberts_Livingstone_far_2012",0.8438
"31_Roberts_Livingstone_house_2012",0.8963
"31_Roberts_Mearns_2013",0.9475
"31_Roberts_White_left_2012",0.916
"36_Larkin_Barracks.Lyan.Co.Clare_13.2017_GS1",0.8932
"36_Larkin_Glencolumbkille.South.Carron.Co.Clare_20.2017_GS1",0.9387
