"rho","p_value","n_networks","metric","strategy","proportion","percentage","median_n_selected","min_n_selected","max_n_selected","rho_sd"
0.683422979766828,3.16251412045688e-38,268,"Connectance","Abundance",0.2,20,6,2,23,NA
0.7452629351732,9.84563357938317e-49,268,"Connectance","Abundance",0.25,25,7,3,29,NA
0.804960192474918,3.01320523579259e-62,268,"Connectance","Abundance",0.3,30,9,4,34,NA
0.834083221060876,1.11511247782327e-70,268,"Connectance","Abundance",0.35,35,10,4,40,NA
0.851653947127123,1.32855786291678e-76,268,"Connectance","Abundance",0.4,40,12,4,46,NA
0.888837767327426,3.85517541821354e-92,268,"Connectance","Abundance",0.45,45,13,5,51,NA
0.90012272307401,5.51366588622664e-98,268,"Connectance","Abundance",0.5,50,14,5,57,NA
0.916823603578379,4.67667973313498e-108,268,"Connectance","Abundance",0.55,55,16,6,63,NA
0.931481015366702,8.05288396966292e-119,268,"Connectance","Abundance",0.6,60,17,7,68,NA
0.943184621855061,2.69543592211292e-129,268,"Connectance","Abundance",0.65,65,19,7,74,NA
0.951687526422307,2.06480793959433e-138,268,"Connectance","Abundance",0.7,70,20,7,80,NA
0.959349407233948,3.6622745685989e-148,268,"Connectance","Abundance",0.75,75,21,8,85,NA
0.963534438796606,2.56831571140357e-154,268,"Connectance","Abundance",0.8,80,23,8,91,NA
0.967357601946098,1.32704706257704e-160,268,"Connectance","Abundance",0.85,85,24,9,97,NA
0.969370831897607,3.19180703774881e-164,268,"Connectance","Abundance",0.9,90,26,10,102,NA
0.972932517621351,2.92691038917816e-171,268,"Connectance","Abundance",0.95,95,27,10,108,NA
0.974042017176254,1.20465086691372e-173,268,"Connectance","Abundance",1,100,28,10,113,NA
0.577845634565288,NA,265,"Connectance","Random",0.2,20,6,2,23,NA
0.643359787141849,NA,267,"Connectance","Random",0.25,25,7,3,29,NA
0.710961172020802,NA,268,"Connectance","Random",0.3,30,9,4,34,NA
0.757557090203427,NA,268,"Connectance","Random",0.35,35,10,4,40,NA
0.785206069556734,NA,268,"Connectance","Random",0.4,40,12,4,46,NA
0.825023782981838,NA,268,"Connectance","Random",0.45,45,13,5,51,NA
0.845122845580843,NA,268,"Connectance","Random",0.5,50,14,5,57,NA
0.873909647508186,NA,268,"Connectance","Random",0.55,55,16,6,63,NA
0.897127495942846,NA,268,"Connectance","Random",0.6,60,17,7,68,NA
0.90874752362763,NA,268,"Connectance","Random",0.65,65,19,7,74,NA
0.921402509727884,NA,268,"Connectance","Random",0.7,70,20,7,80,NA
0.935116677956979,NA,268,"Connectance","Random",0.75,75,21,8,85,NA
0.944311103351183,NA,268,"Connectance","Random",0.8,80,23,8,91,NA
0.954401658754787,NA,268,"Connectance","Random",0.85,85,24,9,97,NA
0.963182631869005,NA,268,"Connectance","Random",0.9,90,26,10,102,NA
0.969544094045574,NA,268,"Connectance","Random",0.95,95,27,10,108,NA
0.974042017176254,NA,268,"Connectance","Random",1,100,28,10,113,NA
0.677763315550992,1.01016872921459e-36,263,"H2'","Abundance",0.2,20,6,2,23,NA
0.693129162675972,1.4804980176564e-39,267,"H2'","Abundance",0.25,25,7,3,29,NA
0.754163963216365,1.68887422844415e-50,268,"H2'","Abundance",0.3,30,9,4,34,NA
0.774612207314476,7.40347822557081e-55,268,"H2'","Abundance",0.35,35,10,4,40,NA
0.802662079518577,1.21136732140465e-61,268,"H2'","Abundance",0.4,40,12,4,46,NA
0.841541426155218,4.18102473429734e-73,268,"H2'","Abundance",0.45,45,13,5,51,NA
0.866530718862976,2.97961879983304e-82,268,"H2'","Abundance",0.5,50,14,5,57,NA
0.885204735272719,2.15860350228957e-90,268,"H2'","Abundance",0.55,55,16,6,63,NA
0.894091631978365,8.8585182827172e-95,268,"H2'","Abundance",0.6,60,17,7,68,NA
0.899767899569027,8.62305839962398e-98,268,"H2'","Abundance",0.65,65,19,7,74,NA
0.90401590477087,3.64118762677361e-100,268,"H2'","Abundance",0.7,70,20,7,80,NA
0.915721297443279,2.49855386828978e-107,268,"H2'","Abundance",0.75,75,21,8,85,NA
0.926697285054615,4.60308115897831e-115,268,"H2'","Abundance",0.8,80,23,8,91,NA
0.933746953798735,1.07190117252327e-120,268,"H2'","Abundance",0.85,85,24,9,97,NA
0.942388221791506,1.62686044885624e-128,268,"H2'","Abundance",0.9,90,26,10,102,NA
0.944715460332521,7.90212220539206e-131,268,"H2'","Abundance",0.95,95,27,10,108,NA
0.943803392294615,6.54960376708629e-130,268,"H2'","Abundance",1,100,28,10,113,NA
0.37565327851607,NA,238,"H2'","Random",0.2,20,6,2,23,NA
0.414071811649381,NA,251,"H2'","Random",0.25,25,7,3,29,NA
0.465270191203115,NA,260,"H2'","Random",0.3,30,9,4,34,NA
0.52355590721678,NA,263,"H2'","Random",0.35,35,10,4,40,NA
0.565743426759107,NA,265,"H2'","Random",0.4,40,12,4,46,NA
0.618266070839184,NA,266,"H2'","Random",0.45,45,13,5,51,NA
0.639554729287939,NA,267,"H2'","Random",0.5,50,14,5,57,NA
0.695365921807266,NA,268,"H2'","Random",0.55,55,16,6,63,NA
0.7298103168714,NA,268,"H2'","Random",0.6,60,17,7,68,NA
0.764912233012849,NA,268,"H2'","Random",0.65,65,19,7,74,NA
0.798987077498647,NA,268,"H2'","Random",0.7,70,20,7,80,NA
0.822550564997803,NA,268,"H2'","Random",0.75,75,21,8,85,NA
0.849688361277509,NA,268,"H2'","Random",0.8,80,23,8,91,NA
0.881473754418283,NA,268,"H2'","Random",0.85,85,24,9,97,NA
0.901511688871959,NA,268,"H2'","Random",0.9,90,26,10,102,NA
0.931158114444277,NA,268,"H2'","Random",0.95,95,27,10,108,NA
0.943885783895359,NA,268,"H2'","Random",1,100,28,10,113,NA
0.633978244652929,2.61621950969968e-31,266,"NODF","Abundance",0.2,20,6,2,23,NA
0.684029116149821,2.5689077360907e-38,268,"NODF","Abundance",0.25,25,7,3,29,NA
0.713693038537261,5.07889683140813e-43,268,"NODF","Abundance",0.3,30,9,4,34,NA
0.737349096394229,3.1801320582034e-47,268,"NODF","Abundance",0.35,35,10,4,40,NA
0.7796067289207,5.42814114961533e-56,268,"NODF","Abundance",0.4,40,12,4,46,NA
0.802113093684185,1.68438848677431e-61,268,"NODF","Abundance",0.45,45,13,5,51,NA
0.843683279082518,7.96638186214909e-74,268,"NODF","Abundance",0.5,50,14,5,57,NA
0.884887688729722,3.04733018462998e-90,268,"NODF","Abundance",0.55,55,16,6,63,NA
0.901854013918246,6.07010928740103e-99,268,"NODF","Abundance",0.6,60,17,7,68,NA
0.910029897819386,1.00717330863972e-103,268,"NODF","Abundance",0.65,65,19,7,74,NA
0.917504430590952,1.6420637095817e-108,268,"NODF","Abundance",0.7,70,20,7,80,NA
0.92469842291069,1.43878571994337e-113,268,"NODF","Abundance",0.75,75,21,8,85,NA
0.932090352104774,2.55813684313364e-119,268,"NODF","Abundance",0.8,80,23,8,91,NA
0.940454198108639,1.15317809474716e-126,268,"NODF","Abundance",0.85,85,24,9,97,NA
0.948211141601714,1.68666294652271e-134,268,"NODF","Abundance",0.9,90,26,10,102,NA
0.947250134698392,1.82378255582131e-133,268,"NODF","Abundance",0.95,95,27,10,108,NA
0.94948604209947,6.67603926189647e-136,268,"NODF","Abundance",1,100,28,10,113,NA
0.338978552717234,NA,248,"NODF","Random",0.2,20,6,2,23,NA
0.39379952344357,NA,259,"NODF","Random",0.25,25,7,3,29,NA
0.457569564371764,NA,264,"NODF","Random",0.3,30,9,4,34,NA
0.50040009640642,NA,266,"NODF","Random",0.35,35,10,4,40,NA
0.5616417992188,NA,267,"NODF","Random",0.4,40,12,4,46,NA
0.600648006653102,NA,268,"NODF","Random",0.45,45,13,5,51,NA
0.638030819834453,NA,268,"NODF","Random",0.5,50,14,5,57,NA
0.690448980183838,NA,268,"NODF","Random",0.55,55,16,6,63,NA
0.72797743706679,NA,268,"NODF","Random",0.6,60,17,7,68,NA
0.763991519250636,NA,268,"NODF","Random",0.65,65,19,7,74,NA
0.798949609831599,NA,268,"NODF","Random",0.7,70,20,7,80,NA
0.831701490180704,NA,268,"NODF","Random",0.75,75,21,8,85,NA
0.851844671402971,NA,268,"NODF","Random",0.8,80,23,8,91,NA
0.887804078622029,NA,268,"NODF","Random",0.85,85,24,9,97,NA
0.909148348717679,NA,268,"NODF","Random",0.9,90,26,10,102,NA
0.93781578513409,NA,268,"NODF","Random",0.95,95,27,10,108,NA
0.94948604209947,NA,268,"NODF","Random",1,100,28,10,113,NA
