Study_Network_id,n_plants_total,total_pollinator_richness
28_Sutter_14_2013,20,12
29_Magrach_Gibraleon_2011,16,27
29_Magrach_Gravera_2011,18,25
30_Smith_lsk48_2012,30,22
30_Smith_lsk57_2011,33,20
30_Smith_lsk73_2012,28,19
30_Smith_lsk74_2012,27,26
30_Smith_lsk77_2012,42,25
37_White_Pn,12,17
42_Knight_M5Restored_2019,37,21
44_Knight_M17_2018,33,48
45_Knight_Mnichov_meadow_2018,29,53
46_Knight_Gora_Gipsowa_2018,37,41
50_Hervias-Parejo_coast Son Bou_2021,10,46
5_Marini_UNIPD02 AH_2019,22,35
5_Marini_UNIPD02 AP_2019,16,18
5_Marini_UNIPD02 P_2019,15,24
7_Scheper_Chize_10_Field_boundary_2015,37,22
7_Scheper_Chize_12_Field_boundary_2015,34,34
7_Scheper_Chize_14_Field_boundary_2015,35,38
7_Scheper_Chize_25_Field_boundary_2015,31,27
