Study_Network_id,strategy,n_plants_total,total_pollinator_richness,threshold_sampling_proportion,threshold_sampling_percent,n_plants_sampled_at_threshold,captured_percent_at_threshold
11_Clough_ASK_2021_2021,Abundance,16,19,0.6500000000000001,65.00000000000001,11,94.73684210526316
11_Clough_HAM_2021_2021,Abundance,24,38,0.4,40,10,84.21052631578948
11_Clough_KOM_2021_2021,Abundance,22,23,0.6000000000000001,60.00000000000001,14,95.65217391304348
11_Clough_LOB_2021_2021,Abundance,21,19,0.6500000000000001,65.00000000000001,14,84.21052631578948
11_Clough_PET_2021_2021,Abundance,30,36,0.5,50,15,83.33333333333333
11_Clough_TAG_2021_2021,Abundance,28,35,0.6500000000000001,65.00000000000001,19,82.85714285714286
12_Ockinger_Norrang_Ryckelsby_Og,Abundance,25,21,0.6000000000000001,60.00000000000001,16,85.71428571428571
12_Ockinger_Sattra_Og,Abundance,26,11,0.6500000000000001,65.00000000000001,17,81.81818181818181
12_Ockinger_St_Tadinge,Abundance,28,18,0.7000000000000001,70,20,83.33333333333333
12_Ockinger_Tjalinge_Skogstibble,Abundance,35,18,0.7500000000000001,75.00000000000001,27,83.33333333333333
20_Hoiss_H5_2010,Abundance,25,81,0.45,45,12,83.95061728395062
20_Hoiss_H6_2010,Abundance,36,36,0.4,40,15,80.55555555555556
20_Hoiss_H7_2010,Abundance,31,38,0.5,50,16,84.21052631578948
20_Hoiss_HO1_2010,Abundance,30,52,0.6000000000000001,60.00000000000001,19,80.76923076923077
20_Hoiss_HO5_2010,Abundance,50,57,0.25,25,13,87.71929824561404
20_Hoiss_T4_2010,Abundance,32,61,0.8500000000000001,85.00000000000001,28,80.32786885245902
22_Kallnik_h1_2012,Abundance,87,11,0.15000000000000002,15.000000000000002,14,100
22_Kallnik_h2_2011,Abundance,54,11,0.05,5,3,90.9090909090909
22_Kallnik_h3_2011,Abundance,71,10,0.05,5,4,80
22_Kallnik_h4_2010,Abundance,96,10,0.35000000000000003,35,34,90
22_Kallnik_h4_2011,Abundance,85,10,0.05,5,5,80
22_Kallnik_h5_2011,Abundance,54,11,0.05,5,3,81.81818181818181
22_Kallnik_h5_2012,Abundance,78,11,0.1,10,8,100
22_Kallnik_h6_2011,Abundance,69,10,0.15000000000000002,15.000000000000002,11,90
22_Kallnik_h7_2011,Abundance,63,10,0.2,20,13,90
22_Kallnik_ho2_2011,Abundance,68,10,0.15000000000000002,15.000000000000002,11,80
22_Kallnik_ho3_2011,Abundance,49,12,0.15000000000000002,15.000000000000002,8,91.66666666666667
22_Kallnik_ho3_2012,Abundance,61,10,0.15000000000000002,15.000000000000002,10,80
22_Kallnik_ho4_2010,Abundance,76,10,0.1,10,8,90
22_Kallnik_ho4_2011,Abundance,71,13,0.05,5,4,92.3076923076923
22_Kallnik_ho4_2012,Abundance,79,12,0.1,10,8,83.33333333333333
22_Kallnik_ho5_2011,Abundance,59,12,0.25,25,15,100
22_Kallnik_wma3_2011,Abundance,53,10,0.25,25,14,100
22_Kallnik_wma3_2012,Abundance,71,10,0.3,30,22,80
22_Kallnik_wma4_2011,Abundance,50,11,0.25,25,13,81.81818181818181
22_Kallnik_wma5_2011,Abundance,55,10,0.1,10,6,80
22_Kallnik_wmb1_2012,Abundance,92,11,0.1,10,10,90.9090909090909
22_Kallnik_wmb2_2011,Abundance,89,12,0.15000000000000002,15.000000000000002,14,100
22_Kallnik_wmb2_2012,Abundance,108,11,0.15000000000000002,15.000000000000002,17,81.81818181818181
