Study_Network_id,n_plants_total,total_pollinator_richness,sampling_proportion,sampling_percent,n_plants_sampled,pollinator_richness_captured_percent,random_sd
11_Clough_ASK_2021_2021,16,19,0.05,5,1,8.31578947368421,NA
11_Clough_ASK_2021_2021,16,19,0.1,10,2,16.842105263157894,NA
11_Clough_ASK_2021_2021,16,19,0.15000000000000002,15.000000000000002,3,28,NA
11_Clough_ASK_2021_2021,16,19,0.2,20,4,28.315789473684212,NA
11_Clough_ASK_2021_2021,16,19,0.25,25,4,31.157894736842106,NA
11_Clough_ASK_2021_2021,16,19,0.3,30,5,44.31578947368421,NA
11_Clough_ASK_2021_2021,16,19,0.35000000000000003,35,6,46.631578947368425,NA
11_Clough_ASK_2021_2021,16,19,0.4,40,7,49.578947368421055,NA
11_Clough_ASK_2021_2021,16,19,0.45,45,8,57.1578947368421,NA
11_Clough_ASK_2021_2021,16,19,0.5,50,8,57.1578947368421,NA
11_Clough_ASK_2021_2021,16,19,0.55,55.00000000000001,9,63.68421052631579,NA
11_Clough_ASK_2021_2021,16,19,0.6000000000000001,60.00000000000001,10,69.05263157894737,NA
11_Clough_ASK_2021_2021,16,19,0.6500000000000001,65.00000000000001,11,75.89473684210526,NA
11_Clough_ASK_2021_2021,16,19,0.7000000000000001,70,12,78.52631578947368,NA
11_Clough_ASK_2021_2021,16,19,0.7500000000000001,75.00000000000001,13,85.36842105263158,NA
11_Clough_ASK_2021_2021,16,19,0.8,80,13,85.05263157894737,NA
11_Clough_ASK_2021_2021,16,19,0.8500000000000001,85.00000000000001,14,90.63157894736842,NA
11_Clough_ASK_2021_2021,16,19,0.9000000000000001,90.00000000000001,15,95.36842105263158,NA
11_Clough_ASK_2021_2021,16,19,0.9500000000000001,95,16,100,NA
11_Clough_ASK_2021_2021,16,19,1,100,16,100,NA
11_Clough_HAM_2021_2021,24,38,0.05,5,2,15.157894736842104,NA
11_Clough_HAM_2021_2021,24,38,0.1,10,3,20.05263157894737,NA
11_Clough_HAM_2021_2021,24,38,0.15000000000000002,15.000000000000002,4,34.1578947368421,NA
11_Clough_HAM_2021_2021,24,38,0.2,20,5,29.263157894736842,NA
11_Clough_HAM_2021_2021,24,38,0.25,25,6,40.1578947368421,NA
11_Clough_HAM_2021_2021,24,38,0.3,30,8,51,NA
11_Clough_HAM_2021_2021,24,38,0.35000000000000003,35,9,52.368421052631575,NA
11_Clough_HAM_2021_2021,24,38,0.4,40,10,57.526315789473685,NA
11_Clough_HAM_2021_2021,24,38,0.45,45,11,58.26315789473684,NA
11_Clough_HAM_2021_2021,24,38,0.5,50,12,65.42105263157895,NA
11_Clough_HAM_2021_2021,24,38,0.55,55.00000000000001,14,70.26315789473685,NA
11_Clough_HAM_2021_2021,24,38,0.6000000000000001,60.00000000000001,15,75.47368421052632,NA
11_Clough_HAM_2021_2021,24,38,0.6500000000000001,65.00000000000001,16,77.10526315789474,NA
11_Clough_HAM_2021_2021,24,38,0.7000000000000001,70,17,79.73684210526315,NA
11_Clough_HAM_2021_2021,24,38,0.7500000000000001,75.00000000000001,19,83.36842105263158,NA
11_Clough_HAM_2021_2021,24,38,0.8,80,20,87.26315789473684,NA
11_Clough_HAM_2021_2021,24,38,0.8500000000000001,85.00000000000001,21,92.42105263157895,NA
11_Clough_HAM_2021_2021,24,38,0.9000000000000001,90.00000000000001,22,92.6842105263158,NA
11_Clough_HAM_2021_2021,24,38,0.9500000000000001,95,23,97.05263157894737,NA
11_Clough_HAM_2021_2021,24,38,1,100,24,100,NA
11_Clough_KOM_2021_2021,22,23,0.05,5,2,12.869565217391305,NA
11_Clough_KOM_2021_2021,22,23,0.1,10,3,19.043478260869566,NA
11_Clough_KOM_2021_2021,22,23,0.15000000000000002,15.000000000000002,4,31.652173913043477,NA
11_Clough_KOM_2021_2021,22,23,0.2,20,5,28.08695652173913,NA
11_Clough_KOM_2021_2021,22,23,0.25,25,6,33.82608695652174,NA
11_Clough_KOM_2021_2021,22,23,0.3,30,7,46.869565217391305,NA
11_Clough_KOM_2021_2021,22,23,0.35000000000000003,35,8,49.73913043478261,NA
11_Clough_KOM_2021_2021,22,23,0.4,40,9,50.608695652173914,NA
11_Clough_KOM_2021_2021,22,23,0.45,45,10,56.52173913043478,NA
11_Clough_KOM_2021_2021,22,23,0.5,50,11,60.17391304347826,NA
11_Clough_KOM_2021_2021,22,23,0.55,55.00000000000001,13,66.69565217391305,NA
11_Clough_KOM_2021_2021,22,23,0.6000000000000001,60.00000000000001,14,76.6086956521739,NA
11_Clough_KOM_2021_2021,22,23,0.6500000000000001,65.00000000000001,15,79.65217391304348,NA
11_Clough_KOM_2021_2021,22,23,0.7000000000000001,70,16,76.52173913043478,NA
11_Clough_KOM_2021_2021,22,23,0.7500000000000001,75.00000000000001,17,82.95652173913044,NA
11_Clough_KOM_2021_2021,22,23,0.8,80,18,87.91304347826087,NA
11_Clough_KOM_2021_2021,22,23,0.8500000000000001,85.00000000000001,19,90.52173913043478,NA
11_Clough_KOM_2021_2021,22,23,0.9000000000000001,90.00000000000001,20,95.1304347826087,NA
11_Clough_KOM_2021_2021,22,23,0.9500000000000001,95,21,96.43478260869566,NA
11_Clough_KOM_2021_2021,22,23,1,100,22,100,NA
11_Clough_LOB_2021_2021,21,19,0.05,5,2,9.578947368421053,NA
11_Clough_LOB_2021_2021,21,19,0.1,10,3,17.68421052631579,NA
11_Clough_LOB_2021_2021,21,19,0.15000000000000002,15.000000000000002,4,22.31578947368421,NA
11_Clough_LOB_2021_2021,21,19,0.2,20,5,29.36842105263158,NA
11_Clough_LOB_2021_2021,21,19,0.25,25,6,29.473684210526315,NA
11_Clough_LOB_2021_2021,21,19,0.3,30,7,36.21052631578947,NA
11_Clough_LOB_2021_2021,21,19,0.35000000000000003,35,8,43.89473684210526,NA
11_Clough_LOB_2021_2021,21,19,0.4,40,9,47.473684210526315,NA
11_Clough_LOB_2021_2021,21,19,0.45,45,10,52.8421052631579,NA
11_Clough_LOB_2021_2021,21,19,0.5,50,11,52.10526315789474,NA
11_Clough_LOB_2021_2021,21,19,0.55,55.00000000000001,12,60.526315789473685,NA
11_Clough_LOB_2021_2021,21,19,0.6000000000000001,60.00000000000001,13,67.78947368421052,NA
11_Clough_LOB_2021_2021,21,19,0.6500000000000001,65.00000000000001,14,70.42105263157895,NA
11_Clough_LOB_2021_2021,21,19,0.7000000000000001,70,15,74.94736842105263,NA
11_Clough_LOB_2021_2021,21,19,0.7500000000000001,75.00000000000001,16,73.6842105263158,NA
11_Clough_LOB_2021_2021,21,19,0.8,80,17,80.10526315789474,NA
11_Clough_LOB_2021_2021,21,19,0.8500000000000001,85.00000000000001,18,84.94736842105263,NA
11_Clough_LOB_2021_2021,21,19,0.9000000000000001,90.00000000000001,19,88.31578947368422,NA
11_Clough_LOB_2021_2021,21,19,0.9500000000000001,95,20,90.10526315789474,NA
11_Clough_LOB_2021_2021,21,19,1,100,21,94.73684210526316,NA
11_Clough_PET_2021_2021,30,36,0.05,5,2,9.11111111111111,NA
11_Clough_PET_2021_2021,30,36,0.1,10,3,10.666666666666666,NA
11_Clough_PET_2021_2021,30,36,0.15000000000000002,15.000000000000002,5,22.22222222222222,NA
11_Clough_PET_2021_2021,30,36,0.2,20,6,29.11111111111111,NA
11_Clough_PET_2021_2021,30,36,0.25,25,8,33.888888888888886,NA
11_Clough_PET_2021_2021,30,36,0.3,30,9,36.888888888888886,NA
11_Clough_PET_2021_2021,30,36,0.35000000000000003,35,11,46.44444444444444,NA
11_Clough_PET_2021_2021,30,36,0.4,40,12,53.27777777777778,NA
11_Clough_PET_2021_2021,30,36,0.45,45,14,55.888888888888886,NA
11_Clough_PET_2021_2021,30,36,0.5,50,15,61.388888888888886,NA
