Study_Network_id,n_plants_total,total_pollinator_richness,n_plants_sampled,captured_pollinator_richness,repetition,sampling_proportion,sampling_percent,pollinator_richness_captured_percent
11_Clough_ASK_2021_2021,16,19,1,0,1,0.05,5,0
11_Clough_HAM_2021_2021,24,38,2,2,1,0.05,5,5.2631578947368425
11_Clough_KOM_2021_2021,22,23,2,1,1,0.05,5,4.3478260869565215
11_Clough_LOB_2021_2021,21,19,2,0,1,0.05,5,0
11_Clough_PET_2021_2021,30,36,2,2,1,0.05,5,5.555555555555555
11_Clough_TAG_2021_2021,28,35,2,0,1,0.05,5,0
12_Ockinger_Norrang_Ryckelsby_Og,25,21,2,1,1,0.05,5,4.761904761904762
12_Ockinger_Sattra_Og,26,11,2,1,1,0.05,5,9.090909090909092
12_Ockinger_St_Tadinge,28,18,2,4,1,0.05,5,22.22222222222222
12_Ockinger_Tjalinge_Skogstibble,35,18,2,0,1,0.05,5,0
20_Hoiss_H5_2010,25,81,2,18,1,0.05,5,22.22222222222222
20_Hoiss_H6_2010,36,36,2,8,1,0.05,5,22.22222222222222
20_Hoiss_H7_2010,31,38,2,3,1,0.05,5,7.894736842105263
20_Hoiss_HO1_2010,30,52,2,2,1,0.05,5,3.8461538461538463
20_Hoiss_HO5_2010,50,57,3,12,1,0.05,5,21.05263157894737
20_Hoiss_T4_2010,32,61,2,1,1,0.05,5,1.639344262295082
22_Kallnik_h1_2012,87,11,5,1,1,0.05,5,9.090909090909092
22_Kallnik_h2_2011,54,11,3,7,1,0.05,5,63.63636363636363
22_Kallnik_h3_2011,71,10,4,3,1,0.05,5,30
22_Kallnik_h4_2010,96,10,5,0,1,0.05,5,0
22_Kallnik_h4_2011,85,10,5,4,1,0.05,5,40
22_Kallnik_h5_2011,54,11,3,2,1,0.05,5,18.181818181818183
22_Kallnik_h5_2012,78,11,4,3,1,0.05,5,27.272727272727273
22_Kallnik_h6_2011,69,10,4,0,1,0.05,5,0
22_Kallnik_h7_2011,63,10,4,7,1,0.05,5,70
22_Kallnik_ho2_2011,68,10,4,5,1,0.05,5,50
22_Kallnik_ho3_2011,49,12,3,3,1,0.05,5,25
22_Kallnik_ho3_2012,61,10,4,5,1,0.05,5,50
22_Kallnik_ho4_2010,76,10,4,1,1,0.05,5,10
22_Kallnik_ho4_2011,71,13,4,6,1,0.05,5,46.15384615384615
22_Kallnik_ho4_2012,79,12,4,2,1,0.05,5,16.666666666666668
22_Kallnik_ho5_2011,59,12,3,2,1,0.05,5,16.666666666666668
22_Kallnik_wma3_2011,53,10,3,7,1,0.05,5,70
22_Kallnik_wma3_2012,71,10,4,0,1,0.05,5,0
22_Kallnik_wma4_2011,50,11,3,1,1,0.05,5,9.090909090909092
22_Kallnik_wma5_2011,55,10,3,1,1,0.05,5,10
